Sent,Word,Tag
sent: 0,"Sent,Word,Tag",Other
sent: 0,"sent: 0,Bahubali,B-Per",Other
sent: 0,"sent: 0,2,Other",Other
sent: 0,"sent: 0,ke,Other",Other
sent: 0,"sent: 0,liye,Other",Other
sent: 0,"sent: 0,line,Other",Other
sent: 0,"sent: 0,lag,Other",Other
sent: 0,"sent: 0,sakte,Other",Other
sent: 0,"sent: 0,hai,Other",Other
sent: 0,"sent: 0,desh,B-Org",Other
sent: 0,"sent: 0,ke,Other",Other
sent: 0,"sent: 0,liye,Other",Other
sent: 0,"sent: 0,kyun,Other",Other
sent: 0,"sent: 0,lage,Other",Other
sent: 0,"sent: 0,line,Other",Other
sent: 0,"sent: 0,me,Other",Other
sent: 0,"sent: 0,...,Other",Other
sent: 0,"sent: 0,#notebandi,Other",Other
sent: 0,"sent: 0,#Bahubali2,B-Per",Other
sent: 0,,Other
sent: 0,"sent: 1,agar,Other",Other
sent: 0,"sent: 1,#notebandi,Other",Other
sent: 0,"sent: 1,ke,Other",Other
sent: 0,"sent: 1,time,Other",Other
sent: 0,"sent: 1,political,B-Org",Other
sent: 0,"sent: 1,party,I-Org",Other
sent: 0,"sent: 1,bhi,Other",Other
sent: 0,"sent: 1,#rti,Other",Other
sent: 0,"sent: 1,ke,Other",Other
sent: 0,"sent: 1,daayre,Other",Other
sent: 0,"sent: 1,me,Other",Other
sent: 0,"sent: 1,aa,Other",Other
sent: 0,"sent: 1,jati,Other",Other
sent: 0,"sent: 1,to,Other",Other
sent: 0,"sent: 1,#sukmaattack,Other",Other
sent: 0,"sent: 1,#kashmir,B-Loc",Other
sent: 0,"sent: 1,me,Other",Other
sent: 0,"sent: 1,patthar,Other",Other
sent: 0,"sent: 1,attack,Other",Other
sent: 0,"sent: 1,na,Other",Other
sent: 0,"sent: 1,hote,Other",Other
sent: 0,"sent: 1,@PMOIndia,Other",Other
sent: 0,,Other
sent: 0,"sent: 2,#Notebandi,Other",Other
sent: 0,"sent: 2,se,Other",Other
sent: 0,"sent: 2,Kuch,Other",Other
sent: 0,"sent: 2,fyda,Other",Other
sent: 0,"sent: 2,nahi,Other",Other
sent: 0,"sent: 2,hua,Other",Other
sent: 0,"sent: 2,lekin,Other",Other
sent: 0,"sent: 2,yeh,Other",Other
sent: 0,"sent: 2,baat,Other",Other
sent: 0,"sent: 2,public,B-Org",Other
sent: 0,"sent: 2,tak,Other",Other
sent: 0,"sent: 2,nahi,Other",Other
sent: 0,"sent: 2,pahuncha,Other",Other
sent: 0,"sent: 2,sake,Other",Other
sent: 0,"sent: 2,Root,Other",Other
sent: 0,"sent: 2,level,Other",Other
sent: 0,"sent: 2,se,Other",Other
sent: 0,"sent: 2,kaam,Other",Other
sent: 0,"sent: 2,nahi,Other",Other
sent: 0,"sent: 2,hua,Other",Other
sent: 0,,Other
sent: 0,"sent: 3,kabhi,Other",Other
sent: 0,"sent: 3,aap,Other",Other
sent: 0,"sent: 3,logo,Other",Other
sent: 0,"sent: 3,na,Other",Other
sent: 0,"sent: 3,Lokpal,B-Org",Other
sent: 0,"sent: 3,par,Other",Other
sent: 0,"sent: 3,baat,Other",Other
sent: 0,"sent: 3,ki,Other",Other
sent: 0,"sent: 3,?,Other",Other
sent: 0,"sent: 3,kyo,Other",Other
sent: 0,"sent: 3,?,Other",Other
sent: 0,"sent: 3,aakhir,Other",Other
sent: 0,"sent: 3,modi,B-Per",Other
sent: 0,"sent: 3,ji,I-Per",Other
sent: 0,"sent: 3,na,Other",Other
sent: 0,"sent: 3,kya,Other",Other
sent: 0,"sent: 3,de,Other",Other
sent: 0,"sent: 3,rakha,Other",Other
sent: 0,"sent: 3,hai,Other",Other
sent: 0,"sent: 3,media,B-Org",Other
sent: 0,"sent: 3,ko,Other",Other
sent: 0,"sent: 3,?,Other",Other
sent: 0,"sent: 3,naxali,B-Org",Other
sent: 0,"sent: 3,"","",Other",Other
sent: 0,"sent: 3,aatankwad,B-Org",Other
sent: 0,"sent: 3,?,Other",Other
sent: 0,"sent: 3,#notebandi,Other",Other
sent: 0,"sent: 3,sa,Other",Other
